지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2004,충청북도,전체,당뇨병의료이용률,1098335,42020,3.83
2004,충청남도,전체,당뇨병의료이용률,1426971,57197,4.01
2004,전라북도,전체,당뇨병의료이용률,1448553,58697,4.05
2004,전라남도,전체,당뇨병의료이용률,1519028,65322,4.3
2004,경상북도,전체,당뇨병의료이용률,2062242,76804,3.72
2004,경상남도,전체,당뇨병의료이용률,2293189,77381,3.37
2004,제주도,전체,당뇨병의료이용률,400611,11056,2.76
2005,서울특별시,전체,당뇨병의료이용률,7903612,328139,4.15
2005,부산광역시,전체,당뇨병의료이용률,2829654,125805,4.45
2005,대구광역시,전체,당뇨병의료이용률,1879442,78511,4.18
2005,인천광역시,전체,당뇨병의료이용률,1895704,79526,4.2
2005,광주광역시,전체,당뇨병의료이용률,1000673,41004,4.1
2005,대전광역시,전체,당뇨병의료이용률,1045977,44232,4.23
2005,울산광역시,전체,당뇨병의료이용률,776590,27396,3.53
2005,경기도,전체,당뇨병의료이용률,7606656,321716,4.23
2005,강원도,전체,당뇨병의료이용률,1118067,57042,5.1
2005,충청북도,전체,당뇨병의료이용률,1106020,51899,4.69
2005,충청남도,전체,당뇨병의료이용률,1469106,72905,4.96
2005,전라북도,전체,당뇨병의료이용률,1429768,71536,5
2005,전라남도,전체,당뇨병의료이용률,1505356,81233,5.4
2005,경상북도,전체,당뇨병의료이용률,2059131,95221,4.62
2005,경상남도,전체,당뇨병의료이용률,2311968,96062,4.15
2005,제주도,전체,당뇨병의료이용률,404972,14322,3.54
2006,서울특별시,전체,당뇨병의료이용률,7959797,356196,4.47
2006,부산광역시,전체,당뇨병의료이용률,2829511,138856,4.91
2006,대구광역시,전체,당뇨병의료이용률,1880523,86135,4.58
2006,인천광역시,전체,당뇨병의료이용률,1931175,88784,4.6
2006,광주광역시,전체,당뇨병의료이용률,1007097,45012,4.47
2006,대전광역시,전체,당뇨병의료이용률,1062324,48458,4.56
2006,울산광역시,전체,당뇨병의료이용률,788996,30888,3.91
2006,경기도,전체,당뇨병의료이용률,7831823,358126,4.57
2006,강원도,전체,당뇨병의료이용률,1117601,64101,5.74
2006,충청북도,전체,당뇨병의료이용률,1113489,58020,5.21
2006,충청남도,전체,당뇨병의료이용률,1485884,80967,5.45
2006,전라북도,전체,당뇨병의료이용률,1421484,78662,5.53
2006,전라남도,전체,당뇨병의료이용률,1500491,90297,6.02
2006,경상북도,전체,당뇨병의료이용률,2068529,107192,5.18
2006,경상남도,전체,당뇨병의료이용률,2339298,108351,4.63
2006,제주도,전체,당뇨병의료이용률,408483,16040,3.93
2007,서울특별시,전체,당뇨병의료이용률,8033696,384045,4.78
2007,부산광역시,전체,당뇨병의료이용률,2834187,149673,5.28
2007,대구광역시,전체,당뇨병의료이용률,1881618,92753,4.93
2007,인천광역시,전체,당뇨병의료이용률,1975569,96881,4.9
2007,광주광역시,전체,당뇨병의료이용률,1018452,48220,4.73
2007,대전광역시,전체,당뇨병의료이용률,1078056,52130,4.84
2007,울산광역시,전체,당뇨병의료이용률,803181,33864,4.22
2007,경기도,전체,당뇨병의료이용률,8069607,391343,4.85
2007,강원도,전체,당뇨병의료이용률,1121643,69534,6.2
2007,충청북도,전체,당뇨병의료이용률,1127598,62512,5.54
2007,충청남도,전체,당뇨병의료이용률,1507483,87870,5.83
2007,전라북도,전체,당뇨병의료이용률,1419619,84184,5.93
2007,전라남도,전체,당뇨병의료이용률,1496990,96619,6.45
2007,경상북도,전체,당뇨병의료이용률,2090522,116466,5.57
2007,경상남도,전체,당뇨병의료이용률,2373489,116984,4.93
2007,제주특별자치도,전체,당뇨병의료이용률,412734,17631,4.27
2008,서울특별시,전체,당뇨병의료이용률,8079734,411412,5.09
2008,부산광역시,전체,당뇨병의료이용률,2830975,159175,5.62
2008,대구광역시,전체,당뇨병의료이용률,1884340,98954,5.25
2008,인천광역시,전체,당뇨병의료이용률,2019451,105657,5.23
2008,광주광역시,전체,당뇨병의료이용률,1026828,51595,5.02
2008,대전광역시,전체,당뇨병의료이용률,1088181,55952,5.14
2008,울산광역시,전체,당뇨병의료이용률,814494,36727,4.51
2008,경기도,전체,당뇨병의료이용률,8262028,425922,5.16
2008,강원도,전체,당뇨병의료이용률,1123912,74608,6.64
2008,충청북도,전체,당뇨병의료이용률,1142791,67519,5.91
2008,충청남도,전체,당뇨병의료이용률,1528922,94769,6.2
2008,전라북도,전체,당뇨병의료이용률,1420081,90250,6.36
2008,전라남도,전체,당뇨병의료이용률,1491711,102035,6.84
2008,경상북도,전체,당뇨병의료이용률,2088671,124030,5.94
2008,경상남도,전체,당뇨병의료이용률,2405040,125703,5.23
2008,제주특별자치도,전체,당뇨병의료이용률,412719,18915,4.58
2009,서울특별시,전체,당뇨병의료이용률,8127403,440160,5.42
2009,부산광역시,전체,당뇨병의료이용률,2831384,171028,6.04
2009,대구광역시,전체,당뇨병의료이용률,1897185,106579,5.62
2009,인천광역시,전체,당뇨병의료이용률,2054556,114768,5.59
2009,광주광역시,전체,당뇨병의료이용률,1039251,55508,5.34
2009,대전광역시,전체,당뇨병의료이용률,1097094,59467,5.42
2009,울산광역시,전체,당뇨병의료이용률,830611,40108,4.83
2009,경기도,전체,당뇨병의료이용률,8471173,465153,5.49
2009,강원도,전체,당뇨병의료이용률,1133493,80466,7.1
2009,충청북도,전체,당뇨병의료이용률,1158871,72562,6.26
2009,충청남도,전체,당뇨병의료이용률,1555248,102258,6.58
2009,전라북도,전체,당뇨병의료이용률,1423438,96163,6.76
2009,전라남도,전체,당뇨병의료이용률,1492562,108812,7.29
2009,경상북도,전체,당뇨병의료이용률,2098076,133275,6.35
2009,경상남도,전체,당뇨병의료이용률,2445338,135953,5.56
2009,제주특별자치도,전체,당뇨병의료이용률,416645,20721,4.97
2010,서울특별시,전체,당뇨병의료이용률,8090447,461642,5.71
2010,부산광역시,전체,당뇨병의료이용률,2806998,180596,6.43
2010,대구광역시,전체,당뇨병의료이용률,1884116,112113,5.95
2010,인천광역시,전체,당뇨병의료이용률,2068761,122069,5.9
2010,광주광역시,전체,당뇨병의료이용률,1036028,58454,5.64
2010,대전광역시,전체,당뇨병의료이용률,1088174,62401,5.73
2010,울산광역시,전체,당뇨병의료이용률,837194,42827,5.12
2010,경기도,전체,당뇨병의료이용률,8562210,494893,5.78
2010,강원도,전체,당뇨병의료이용률,1087949,82177,7.55
2010,충청북도,전체,당뇨병의료이용률,1143179,75527,6.61
2010,충청남도,전체,당뇨병의료이용률,1534258,106937,6.97
2010,전라북도,전체,당뇨병의료이용률,1386553,98595,7.11
2010,전라남도,전체,당뇨병의료이용률,1453470,112513,7.74
2010,경상북도,전체,당뇨병의료이용률,2061077,138284,6.71
2010,경상남도,전체,당뇨병의료이용률,2436879,142268,5.84
2010,제주특별자치도,전체,당뇨병의료이용률,397346,21231,5.34
2011,서울특별시,전체,당뇨병의료이용률,8108747,488522,6.02
2011,부산광역시,전체,당뇨병의료이용률,2819464,191338,6.79
2011,대구광역시,전체,당뇨병의료이용률,1900631,119667,6.3
2011,인천광역시,전체,당뇨병의료이용률,2104822,131389,6.24
2011,광주광역시,전체,당뇨병의료이용률,1053395,62663,5.95
2011,대전광역시,전체,당뇨병의료이용률,1103827,66209,6
2011,울산광역시,전체,당뇨병의료이용률,849527,46296,5.45
2011,경기도,전체,당뇨병의료이용률,8822804,536873,6.09
2011,강원도,전체,당뇨병의료이용률,1095788,87718,8.01
2011,충청북도,전체,당뇨병의료이용률,1163672,81484,7
2011,충청남도,전체,당뇨병의료이용률,1566266,115183,7.35
2011,전라북도,전체,당뇨병의료이용률,1395223,104730,7.51
2011,전라남도,전체,당뇨병의료이용률,1457995,119066,8.17
2011,경상북도,전체,당뇨병의료이용률,2079514,148343,7.13
2011,경상남도,전체,당뇨병의료이용률,2475675,152807,6.17
2011,제주특별자치도,전체,당뇨병의료이용률,403616,23208,5.75
2012,서울특별시,전체,당뇨병의료이용률,8133340,508637,6.25
2012,부산광역시,전체,당뇨병의료이용률,2830495,200931,7.1
2012,대구광역시,전체,당뇨병의료이용률,1916025,126381,6.6
2012,인천광역시,전체,당뇨병의료이용률,2159335,140232,6.49
2012,광주광역시,전체,당뇨병의료이용률,1072113,66691,6.22
2012,대전광역시,전체,당뇨병의료이용률,1123337,70018,6.23
2012,울산광역시,전체,당뇨병의료이용률,867280,49574,5.72
2012,경기도,전체,당뇨병의료이용률,9031067,572065,6.33
2012,강원도,전체,당뇨병의료이용률,1112711,92670,8.33
2012,충청북도,전체,당뇨병의료이용률,1183568,86837,7.34
2012,충청남도,전체,당뇨병의료이용률,1599239,122172,7.64
2012,전라북도,전체,당뇨병의료이용률,1412600,109986,7.79
2012,전라남도,전체,당뇨병의료이용률,1466304,125595,8.57
2012,경상북도,전체,당뇨병의료이용률,2105246,156733,7.44
2012,경상남도,전체,당뇨병의료이용률,2515980,161936,6.44
2012,제주특별자치도,전체,당뇨병의료이용률,412076,24734,6
2013,서울특별시,전체,당뇨병의료이용률,8160294,527310,6.46
2013,부산광역시,전체,당뇨병의료이용률,2838441,209985,7.4
2013,대구광역시,전체,당뇨병의료이용률,1931052,132820,6.88
2013,인천광역시,전체,당뇨병의료이용률,2209453,149139,6.75
2013,광주광역시,전체,당뇨병의료이용률,1086467,70166,6.46
2013,대전광역시,전체,당뇨병의료이용률,1139485,74472,6.54
2013,울산광역시,전체,당뇨병의료이용률,885516,53071,5.99
2013,세종특별자치시,전체,당뇨병의료이용률,86367,7055,8.17
2013,경기도,전체,당뇨병의료이용률,9235257,606453,6.57
2013,강원도,전체,당뇨병의료이용률,1122543,97372,8.67
2013,충청북도,전체,당뇨병의료이용률,1195870,91219,7.63
2013,충청남도,전체,당뇨병의료이용률,1555172,122844,7.9
2013,전라북도,전체,당뇨병의료이용률,1423898,114890,8.07
2013,전라남도,전체,당뇨병의료이용률,1473496,130993,8.89
2013,경상북도,전체,당뇨병의료이용률,2117595,164840,7.78
2013,경상남도,전체,당뇨병의료이용률,2541074,171043,6.73
2013,제주특별자치도,전체,당뇨병의료이용률,421852,26517,6.29
2014,서울특별시,전체,당뇨병의료이용률,8237996,545787,6.63
2014,부산광역시,전체,당뇨병의료이용률,2854012,219395,7.69
2014,대구광역시,전체,당뇨병의료이용률,1951828,138856,7.11
2014,인천광역시,전체,당뇨병의료이용률,2266251,158586,7
2014,광주광역시,전체,당뇨병의료이용률,1111139,73699,6.63
2014,대전광역시,전체,당뇨병의료이용률,1166750,78795,6.75
2014,울산광역시,전체,당뇨병의료이용률,903440,56130,6.21
2014,세종특별자치시,전체,당뇨병의료이용률,94934,7643,8.05
2014,경기도,전체,당뇨병의료이용률,9509221,644004,6.77
2014,강원도,전체,당뇨병의료이용률,1180242,105903,8.97
2014,충청북도,전체,당뇨병의료이용률,1237369,97780,7.9
2014,충청남도,전체,당뇨병의료이용률,1620456,131883,8.14
2014,전라북도,전체,당뇨병의료이용률,1472068,122736,8.34
2014,전라남도,전체,당뇨병의료이용률,1518368,139766,9.21
2014,경상북도,전체,당뇨병의료이용률,2172587,176408,8.12
2014,경상남도,전체,당뇨병의료이용률,2606002,181263,6.96
2014,제주특별자치도,전체,당뇨병의료이용률,454295,29373,6.47
2015,서울특별시,전체,당뇨병의료이용률,8294856,567307,6.84
2015,부산광역시,전체,당뇨병의료이용률,2870221,228539,7.96
2015,대구광역시,전체,당뇨병의료이용률,1966540,145414,7.39
2015,인천광역시,전체,당뇨병의료이용률,2305988,168157,7.29
2015,광주광역시,전체,당뇨병의료이용률,1125268,76907,6.83
2015,대전광역시,전체,당뇨병의료이용률,1179196,82807,7.02
2015,울산광역시,전체,당뇨병의료이용률,922461,59330,6.43
2015,세종특별자치시,전체,당뇨병의료이용률,118610,8828,7.44
2015,경기도,전체,당뇨병의료이용률,9718952,683130,7.03
2015,강원도,전체,당뇨병의료이용률,1189660,111581,9.38
2015,충청북도,전체,당뇨병의료이용률,1255176,102788,8.19
2015,충청남도,전체,당뇨병의료이용률,1646217,138510,8.41
2015,전라북도,전체,당뇨병의료이용률,1483003,127670,8.61
2015,전라남도,전체,당뇨병의료이용률,1530356,145627,9.52
2015,경상북도,전체,당뇨병의료이용률,2191075,185404,8.46
2015,경상남도,전체,당뇨병의료이용률,2645492,190853,7.21
2015,제주특별자치도,전체,당뇨병의료이용률,469368,31344,6.68
2016,서울특별시,전체,당뇨병의료이용률,8298444,596936,7.19
2016,부산광역시,전체,당뇨병의료이용률,2883939,241126,8.36
2016,대구광역시,전체,당뇨병의료이용률,1979413,154358,7.8
2016,인천광역시,전체,당뇨병의료이용률,2345634,182056,7.76
2016,광주광역시,전체,당뇨병의료이용률,1134347,81790,7.21
2016,대전광역시,전체,당뇨병의료이용률,1182157,87712,7.42
2016,울산광역시,전체,당뇨병의료이용률,936822,63458,6.77
2016,세종특별자치시,전체,당뇨병의료이용률,156047,10738,6.88
2016,경기도,전체,당뇨병의료이용률,9954154,737964,7.41
2016,강원도,전체,당뇨병의료이용률,1203260,118391,9.84
2016,충청북도,전체,당뇨병의료이용률,1273002,109703,8.62
2016,충청남도,전체,당뇨병의료이용률,1672363,148286,8.87
2016,전라북도,전체,당뇨병의료이용률,1495476,135148,9.04
2016,전라남도,전체,당뇨병의료이용률,1545502,153028,9.9
2016,경상북도,전체,당뇨병의료이용률,2207685,196786,8.91
2016,경상남도,전체,당뇨병의료이용률,2681649,203645,7.59
2016,제주특별자치도,전체,당뇨병의료이용률,488109,34061,6.98
2017,서울특별시,전체,당뇨병의료이용률,8283779,625854,7.56
2017,부산광역시,전체,당뇨병의료이용률,2886753,254068,8.8
2017,대구광역시,전체,당뇨병의료이용률,1993512,163981,8.23
2017,인천광역시,전체,당뇨병의료이용률,2383220,195222,8.19
2017,광주광역시,전체,당뇨병의료이용률,1144280,87186,7.62
2017,대전광역시,전체,당뇨병의료이용률,1189783,92880,7.81
2017,울산광역시,전체,당뇨병의료이용률,941494,67643,7.18
2017,세종특별자치시,전체,당뇨병의료이용률,179117,12447,6.95
2017,경기도,전체,당뇨병의료이용률,10206985,795010,7.79
2017,강원도,전체,당뇨병의료이용률,1215997,125455,10.32
2017,충청북도,전체,당뇨병의료이용률,1291848,117762,9.12
2017,충청남도,전체,당뇨병의료이용률,1701407,158728,9.33
2017,전라북도,전체,당뇨병의료이용률,1502937,143126,9.52
2017,전라남도,전체,당뇨병의료이용률,1551614,161080,10.38
2017,경상북도,전체,당뇨병의료이용률,2219652,208676,9.4
2017,경상남도,전체,당뇨병의료이용률,2707955,218283,8.06
2017,제주특별자치도,전체,당뇨병의료이용률,507181,37235,7.34
2018,서울특별시,전체,당뇨병의료이용률,8291666,656079,7.91
2018,부산광역시,전체,당뇨병의료이용률,2880023,266908,9.27
2018,대구광역시,전체,당뇨병의료이용률,2001694,172766,8.63
2018,인천광역시,전체,당뇨병의료이용률,2411004,209069,8.67
2018,광주광역시,전체,당뇨병의료이용률,1151857,92236,8.01
2018,대전광역시,전체,당뇨병의료이용률,1192982,98412,8.25
2018,울산광역시,전체,당뇨병의료이용률,942000,71801,7.62
2018,세종특별자치시,전체,당뇨병의료이용률,205572,14423,7.02
2018,경기도,전체,당뇨병의료이용률,10437526,854862,8.19
2018,강원도,전체,당뇨병의료이용률,1227517,132826,10.82
2018,충청북도,전체,당뇨병의료이용률,1306072,125185,9.58
2018,충청남도,전체,당뇨병의료이용률,1733118,169587,9.79
2018,전라북도,전체,당뇨병의료이용률,1508322,150988,10.01
2018,전라남도,전체,당뇨병의료이용률,1558474,168560,10.82
2018,경상북도,전체,당뇨병의료이용률,2227347,221035,9.92
2018,경상남도,전체,당뇨병의료이용률,2728417,232194,8.51
2018,제주특별자치도,전체,당뇨병의료이용률,525041,40490,7.71
2019,서울특별시,전체,당뇨병의료이용률,8311736,685972,8.25
2019,부산광역시,전체,당뇨병의료이용률,2869768,283351,9.87
2019,대구광역시,전체,당뇨병의료이용률,2007214,183124,9.12
2019,인천광역시,전체,당뇨병의료이용률,2446360,225017,9.2
2019,광주광역시,전체,당뇨병의료이용률,1162200,98889,8.51
2019,대전광역시,전체,당뇨병의료이용률,1194880,105360,8.82
2019,울산광역시,전체,당뇨병의료이용률,942298,77118,8.18
2019,세종특별자치시,전체,당뇨병의료이용률,230579,16544,7.17
2019,경기도,전체,당뇨병의료이용률,10764036,925273,8.6
2019,강원도,전체,당뇨병의료이용률,1235426,140592,11.38
2019,충청북도,전체,당뇨병의료이용률,1326507,134098,10.11
2019,충청남도,전체,당뇨병의료이용률,1766166,180775,10.24
2019,전라북도,전체,당뇨병의료이용률,1509251,160114,10.61
2019,전라남도,전체,당뇨병의료이용률,1564333,178646,11.42
2019,경상북도,전체,당뇨병의료이용률,2234679,235598,10.54
2019,경상남도,전체,당뇨병의료이용률,2750645,248564,9.04
2019,제주특별자치도,전체,당뇨병의료이용률,540878,43603,8.06
2020,서울특별시,전체,당뇨병의료이용률,8105003,707822,8.73
2020,부산광역시,전체,당뇨병의료이용률,2802532,294124,10.49
2020,대구광역시,전체,당뇨병의료이용률,1959123,190626,9.73
2020,인천광역시,전체,당뇨병의료이용률,2401885,236103,9.83
2020,광주광역시,전체,당뇨병의료이용률,1139296,103447,9.08
2020,대전광역시,전체,당뇨병의료이용률,1162400,109227,9.4
2020,울산광역시,전체,당뇨병의료이용률,922229,80450,8.72
2020,세종특별자치시,전체,당뇨병의료이용률,238552,17977,7.54
2020,경기도,전체,당뇨병의료이용률,10666792,975122,9.14
2020,강원도,전체,당뇨병의료이용률,1217900,146161,12
2020,충청북도,전체,당뇨병의료이용률,1305624,139860,10.71
2020,충청남도,전체,당뇨병의료이용률,1724803,187553,10.87
2020,전라북도,전체,당뇨병의료이용률,1480098,166176,11.23
2020,전라남도,전체,당뇨병의료이용률,1530330,184642,12.07
2020,경상북도,전체,당뇨병의료이용률,2186286,245160,11.21
2020,경상남도,전체,당뇨병의료이용률,2691247,260056,9.66
2020,제주특별자치도,전체,당뇨병의료이용률,536289,45789,8.54
2002,서울특별시,종로구,당뇨병의료이용률,269062,7573,2.81
2002,서울특별시,중구,당뇨병의료이용률,441823,11179,2.53
2002,서울특별시,용산구,당뇨병의료이용률,226727,7316,3.23
2002,서울특별시,성동구,당뇨병의료이용률,274958,8517,3.1
2002,서울특별시,광진구,당뇨병의료이용률,274056,7719,2.82
2002,서울특별시,동대문구,당뇨병의료이용률,297045,8935,3.01
2002,서울특별시,중랑구,당뇨병의료이용률,305099,8182,2.68
2002,서울특별시,성북구,당뇨병의료이용률,318381,10354,3.25
2002,서울특별시,강북구,당뇨병의료이용률,251071,7715,3.07
2002,서울특별시,도봉구,당뇨병의료이용률,243494,7517,3.09
2002,서울특별시,노원구,당뇨병의료이용률,408458,12145,2.97
2002,서울특별시,은평구,당뇨병의료이용률,233234,6835,2.93
2002,서울특별시,서대문구,당뇨병의료이용률,272722,8988,3.3
2002,서울특별시,마포구,당뇨병의료이용률,333020,9998,3
2002,서울특별시,양천구,당뇨병의료이용률,320566,8808,2.75
2002,서울특별시,강서구,당뇨병의료이용률,380666,10261,2.7
2002,서울특별시,구로구,당뇨병의료이용률,303608,8152,2.69
2002,서울특별시,금천구,당뇨병의료이용률,205929,4799,2.33
2002,서울특별시,영등포구,당뇨병의료이용률,480716,12672,2.64
2002,서울특별시,동작구,당뇨병의료이용률,280513,7964,2.84
2002,서울특별시,관악구,당뇨병의료이용률,362997,9409,2.59
2002,서울특별시,서초구,당뇨병의료이용률,479336,12071,2.52
2002,서울특별시,강남구,당뇨병의료이용률,719411,16963,2.36
2002,서울특별시,송파구,당뇨병의료이용률,485777,12802,2.64
2002,서울특별시,강동구,당뇨병의료이용률,321367,8275,2.57
2002,부산광역시,중구,당뇨병의료이용률,63023,1980,3.14
2002,부산광역시,서구,당뇨병의료이용률,119502,3897,3.26
2002,부산광역시,동구,당뇨병의료이용률,106021,3065,2.89
2002,부산광역시,영도구,당뇨병의료이용률,139051,3515,2.53
2002,부산광역시,부산진구,당뇨병의료이용률,238924,6661,2.79
2002,부산광역시,동래구,당뇨병의료이용률,205780,5615,2.73
2002,부산광역시,남구,당뇨병의료이용률,220852,6076,2.75
2002,부산광역시,북구,당뇨병의료이용률,182829,4379,2.4
2002,부산광역시,해운대구,당뇨병의료이용률,272145,7234,2.66
2002,부산광역시,사하구,당뇨병의료이용률,276334,6952,2.52
2002,부산광역시,금정구,당뇨병의료이용률,202614,5227,2.58
2002,부산광역시,강서구,당뇨병의료이용률,57551,1604,2.79
2002,부산광역시,연제구,당뇨병의료이용률,171807,4674,2.72
2002,부산광역시,수영구,당뇨병의료이용률,131624,3748,2.85
2002,부산광역시,사상구,당뇨병의료이용률,240629,5308,2.21
2002,부산광역시,기장군,당뇨병의료이용률,58445,1731,2.96
2002,대구광역시,중구,당뇨병의료이용률,83539,2788,3.34
2002,대구광역시,동구,당뇨병의료이용률,241313,7349,3.05
2002,대구광역시,서구,당뇨병의료이용률,215840,6123,2.84
2002,대구광역시,남구,당뇨병의료이용률,139429,4172,2.99
2002,대구광역시,북구,당뇨병의료이용률,258031,7308,2.83
2002,대구광역시,수성구,당뇨병의료이용률,308755,8393,2.72
2002,대구광역시,달서구,당뇨병의료이용률,383022,9559,2.5
2002,대구광역시,달성군,당뇨병의료이용률,113298,2721,2.4
2002,인천광역시,중구,당뇨병의료이용률,70672,2456,3.48
2002,인천광역시,동구,당뇨병의료이용률,62478,2279,3.65
2002,인천광역시,남구,당뇨병의료이용률,299764,9877,3.29
2002,인천광역시,연수구,당뇨병의료이용률,142038,3766,2.65
2002,인천광역시,남동구,당뇨병의료이용률,302483,8053,2.66
2002,인천광역시,부평구,당뇨병의료이용률,370503,10765,2.91
2002,인천광역시,계양구,당뇨병의료이용률,199826,4985,2.49
2002,인천광역시,서구,당뇨병의료이용률,236863,6224,2.63
2002,인천광역시,강화군,당뇨병의료이용률,53262,1556,2.92
2002,인천광역시,옹진군,당뇨병의료이용률,10403,276,2.65
2002,광주광역시,동구,당뇨병의료이용률,94297,3408,3.61
2002,광주광역시,서구,당뇨병의료이용률,169480,4671,2.76
2002,광주광역시,남구,당뇨병의료이용률,159472,4918,3.08
2002,광주광역시,북구,당뇨병의료이용률,311814,8894,2.85
2002,광주광역시,광산구,당뇨병의료이용률,152476,3584,2.35
2002,대전광역시,동구,당뇨병의료이용률,177333,5889,3.32
2002,대전광역시,중구,당뇨병의료이용률,191321,6359,3.32
2002,대전광역시,서구,당뇨병의료이용률,294911,8503,2.88
2002,대전광역시,유성구,당뇨병의료이용률,104866,2837,2.71
2002,대전광역시,대덕구,당뇨병의료이용률,153217,4132,2.7
2002,울산광역시,중구,당뇨병의료이용률,147297,3752,2.55
2002,울산광역시,남구,당뇨병의료이용률,236936,5431,2.29
2002,울산광역시,동구,당뇨병의료이용률,129701,3047,2.35
2002,울산광역시,북구,당뇨병의료이용률,79559,1704,2.14
2002,울산광역시,울주군,당뇨병의료이용률,124682,3278,2.63
2002,경기도,수원시장안구,당뇨병의료이용률,183560,5634,3.07
2002,경기도,수원시권선구,당뇨병의료이용률,171144,5323,3.11
2002,경기도,수원시팔달구,당뇨병의료이용률,213825,5622,2.63
2002,경기도,성남시수정구,당뇨병의료이용률,175736,5031,2.86
2002,경기도,성남시중원구,당뇨병의료이용률,191245,5291,2.77
2002,경기도,성남시분당구,당뇨병의료이용률,294203,8596,2.92
2002,경기도,의정부시,당뇨병의료이용률,209250,6328,3.02
2002,경기도,안양시만안구,당뇨병의료이용률,170715,4719,2.76
2002,경기도,안양시동안구,당뇨병의료이용률,211615,5777,2.73
2002,경기도,부천시원미구,당뇨병의료이용률,254913,6929,2.72
2002,경기도,부천시소사구,당뇨병의료이용률,133366,3882,2.91
2002,경기도,부천시오정구,당뇨병의료이용률,129534,3681,2.84
